id,name,description,purpose,url,support url,install_url,user_guide_url,technology,version,internal_tf,core_process,functional_area,active,license,aka,workgroup,standard,rollout_date,last_update_date,created_at,dependency,Remarks,Notes
128,FORGE,The offical FHIR profile authoring tool,Supports the creation and editing of FHIR Profiles.,http://fhir.furore.com/Forge,,,,c# windows,DSTU 2,f,f,std-dev,t,comm,,,FHIR,,,2016-08-02,,,"Downloading the tool throught either http://fhir.furore.com/Forge and the FHIR registry, https://simplifier.net/ui/Access/Login, you must first register and login."
129,Spark FHIR server,"A fully compliant FHIR server developed by Furore, SPARK. SPARK is capable of storing and retrieving all FHIR resources listed in the specification and supports all REST operations. The server has also implemented all search functionality and all search parameters. ",Supports a quick start in FHIR implementations,http://spark.furore.com/,,,,c#,3.7,f,f,std-dev,t,OSS,,,FHIR,,2015-07-08,2016-08-02,,,
130,FHIR Main Vocabulary Server,The FHIR Main Vocabulary server is a FHIR server that is the source of truth for vocabulary  that is used in the FHIR specification. The external server is maintained by Grahame Greive.,"Provide the core registry of FHIR codes and value sets required to build the FHIR standard
",https://www.hl7.org/fhir/terminology-service.html,,,,web delphi,,f,t,std-dev std-ballot std-pub reg-rep,t,,,,FHIR,,2016-08-01,2016-08-02,,Cannot find anything under the name we included. I included two links. Can you look at it and see if the right link is included or ditrect me to the rifht webpage? AS: I went with the first one,
131,C-CDA 2.1 Samples and Query Tool,A web query tool to support the searching and retrieval of C-CDA R2.1 sample instances. The tool will process a set of sample files stored in GitHub to produce a database that supports a web interface to specify various query parameters.,Enable C-CDA implementors to research and retrieve samples instances using a variety terms and words,,,,,ror web rdb github,alpha,t,f,impl,t,epl,,SD,CDA,,,2016-08-04,,,Application is being developed and is in design
132,EHR-S FM/FP Publishing,"An add-on tool to the EHR-S Functional Modeler/Profiler that produces human readable output of the functional model/profile in HTML, PDF and CSV formats. The tool takes a MAX file export of a functional model or profile and using a process defined in ANT and applying a number of XSLT transforms produces an HTML or PDF or CSV format output. The HTML and PDF output contains linkages, indices and navigation to enable reading the specification using simple freely available tools (browsers, Acrobat Reader, etc.).","Produce output in a human readable form (PDF, HTML, CSV) from a Functional Model or a Functional Profile",http://gforge.hl7.org/gf/project/ehrsfm_profile/,http://gforge.hl7.org/gf/project/ehrsfm_profile/,,,ant max xslt fop windows macos linux alone,1.1,t,f,std-pub std-ballot,t,epl,,EHR,FM,2014-07-01,2016-05-01,2016-08-07,118,,Application requires knowledge of running tools on the command line. Installation and run instructions are included in the EHR-S Functional Modeler user documentation
133,DCM MDG file,"Model Driven Generation (MDG) Technologies allowing users to extend Enterprise Architect's (EA) modeling capabilities to specific domains and notations. In th case of HL7 it is created for UML based Detailed Clinical Models in EA. These models adhere to the ISO TS 13972 which was developed with HL7 and openEHR input. Technically the MDG constrains the UML into a specific stereotype that allows export of the logical model in various technical formats as XML, HL7 v3 clinical statements and MAX. ","The MDG file for DCM can be installed in EA and serves as a template to generate DCMs. These DCMs have: 1. packages with instructions to complete the evidence base, tagged values to create the DCM meta information, including OIDs, the UML model in which each data element is specified as class, and tagged values for the code binding and value set binding. The result is a DCM in UML which can be exported as XMI file. ",http://gforge.hl7.org/gf/project/dcm_ea/frs/,,,,ea,SanAntonio2012,f,f,std-dev impl,t,free,,PC,,2012-01-01,,2016-08-10,,,"Application requires knowledge in using Enterprise Architect, requires a valid Enterprise Architect installation

Please send issues to: DCMHelpdesk@results4care.eu"
134,DCM Content Creator,web environment in which clinicians can describe the health knowledge and evidence base for a detailed clinical model. The XML file can be imported into the Enterprise Architect DCM MDG template. ,Expression of health knowledge as background and context of detailed clinical models. Online collaboration tool.,http://r4c.clinicaltemplates.org,,,,django python,1.0,f,f,std-dev,t,comm,,PC,,2010-01-01,2015-11-01,2016-08-10,,,Please send issues to: DCMHelpdesk@results4care.eu
135,DCM Model Creator,extension to Enterprise Architect to support the creation of Detailed Clinical Models,"Tools allow to import IM CEMLs and create UML from them, validates DCMs that are created with the DCM template in EA and follow the stereotyping rules. Export the DCM into various technical representations. Working are XMI, CSV, HL7 v3 XML for clinical statements, MAX and conversion of MAX into JSON. Finally supports composing DCM into larger constructs such as full HL7 v3 message payload. CIMI model export in ADL 2.0 under construction. FHIR resource and extension export under construction.",https://www.zorgictwinkel.nl/shop/index.php?route=product/product&product_id=68,,,,c# ea,1.0,f,f,std-dev impl,t,comm,,PC,,2010-01-01,2015-11-01,2016-08-10,,,"Application requires knowledge in using Enterprise Architect, requires a valid Enterprise Architect installation.

Please send issues to: DCMHelpdesk@results4care.eu"
136,Education Portal,The site for all of the education services provided by HL7 International,Provide HL7 education services,,,,,web,,t,t,educate,t,,,Education,,,,2016-08-11,,,
137,Model Driven Health Tools,"MDHT delivers a standard object-oriented alternative to proprietary development methodologies and tooling used to specify and implement most healthcare industry standards. There are three primary categories of users for MDHT tools: authors of healthcare industry interoperability standards, certification or testing authorities who validate that an Electronic Health Record (EHR) system produces XML or JSON files that comply with the standard, and software developers that implement adapters or applications that produce and consume healthcare data. MDHT defines healthcare-specific UML profiles to specify the interoperability standards and delivers model editing tools that are optimized for clinical informatics users, including a customized interface for the UML profile extensions. MDHT also delivers UML publishing tools that are used to generate specification documents that are ready for submission to standards organizations. Finally, the tooling includes model transformations that leverage  EMF and OCL to generate Ecore models and Java code used by healthcare implementers.",Produce CDA implementation guides and code framework to be used in the development of software the uses the IG,https://projects.eclipse.org/projects/modeling.mdht,http://www.eclipse.org/forums/index.php?t=thread&frm_id=323,https://sourceforge.net/projects/oht-modeling/files/Releases/Products/Designer/,http://cdatools.org,java eclipse linux windows macos,3.0,f,f,std-dev std-pub impl,t,epl,MDHT,,CDA V3 FHIR,2010-09-15,2016-04-12,2016-08-13,,,
138,CSV to FHIR Tracker,"A command line script to load the extracted CSV contents of the ballot comments into Gforge tracker items.

The script was created to aid the FHIR core team manage all comments against the FHIR specification. The script makes use of a number of custom fields created by the FHIR team to track a number of items beyond the tracking fields found in the default GForge tracker.",Bulk loading of tracker items into Gforge (such as ballot comments).,https://github.com/jmandel/csv-to-fhir-tracker,,,,python macos linux,,f,f,std-ballot,t,,,FHIR-i,FHIR,2015-05-01,2016-09-15,2016-10-03,,,
